trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5
1,0.9600,0.0000,0.0855,0.1608,0.3975,0.9054
2,0.9007,0.0000,0.0527,0.1417,0.6672,0.7114
3,1.0064,0.0000,0.0157,0.2548,0.4447,0.9805
4,0.6540,0.0000,0.0706,0.7943,0.8362,0.9966
5,0.9902,0.0000,0.3971,0.7299,0.9245,0.9630
6,0.9897,0.0000,0.1722,0.5691,0.7973,0.7989
7,0.9610,0.0000,0.4013,0.8460,0.8610,0.8867
8,0.9481,0.0000,0.1050,0.1411,0.6190,0.8023
9,0.9922,0.0000,0.2504,0.4235,0.4249,0.8544
10,1.0457,0.0000,0.2887,0.3059,0.3203,0.4840
11,0.6272,0.0000,0.0440,0.1202,0.1299,0.8227
12,0.6114,0.0000,0.0439,0.0606,0.8118,0.9185
13,1.0531,0.0000,0.4813,0.6082,0.6566,0.9501
14,0.9017,0.0000,0.1083,0.1446,0.2053,0.6920
15,0.7686,0.0000,0.0203,0.7405,0.8153,0.9786
16,1.0774,0.0000,0.2206,0.2789,0.5324,0.6366
17,0.9965,0.0000,0.0791,0.4625,0.7274,0.7728
18,1.0467,0.0000,0.4962,0.6224,0.7122,0.7435
19,1.0369,0.0000,0.2606,0.3026,0.6129,0.7302
20,1.0585,0.0000,0.3195,0.5180,0.7914,0.8731
21,1.0611,0.0000,0.1123,0.1518,0.4530,0.5764
22,0.9055,0.0000,0.0476,0.0563,0.2617,0.3394
23,1.0197,0.0000,0.1234,0.2326,0.5717,0.7438
24,1.0149,0.0000,0.1240,0.2242,0.5710,0.8521
25,1.0139,0.0000,0.1407,0.3505,0.6932,0.9025
26,0.7889,0.0000,0.1675,0.7518,0.8554,0.8729
27,1.0415,0.0000,0.0935,0.2975,0.5674,0.9436
28,0.9357,0.0000,0.1422,0.3266,0.3655,0.9901
29,1.0576,0.0000,0.1652,0.4439,0.5134,0.7193
30,0.9948,0.0000,0.2709,0.6309,0.8712,0.8901
31,0.7821,0.0000,0.0344,0.2666,0.8749,0.9046
32,0.9592,0.0000,0.1265,0.6048,0.8987,0.9363
33,0.6129,0.0000,0.0219,0.0441,0.0887,0.1889
34,1.0023,0.0000,0.0958,0.1383,0.5058,0.9472
35,1.0285,0.0000,0.1848,0.2625,0.5768,0.8544
36,0.9054,0.0000,0.1111,0.1502,0.3465,0.8949
37,1.0498,0.0000,0.3301,0.4393,0.7147,0.8548
38,0.7595,0.0000,0.7452,0.8144,0.9158,0.9198
39,1.0723,0.0000,0.3364,0.3826,0.6332,0.6559
40,1.0505,0.0000,0.4021,0.4648,0.5050,0.8839
41,1.0521,0.0000,0.2403,0.3685,0.4801,0.8446
42,1.0274,0.0000,0.1058,0.4179,0.6988,0.7590
43,0.9542,0.0000,0.2748,0.7062,0.7541,0.8795
44,1.0571,0.0000,0.2626,0.3485,0.3510,0.6423
45,0.8799,0.0000,0.1512,0.3269,0.8919,0.9335
46,1.0410,0.0000,0.1843,0.3328,0.4602,0.4674
47,1.0648,0.0000,0.4575,0.4862,0.6284,0.8440
48,1.0802,0.0000,0.0259,0.4479,0.5547,0.6485
49,1.0296,0.0000,0.3028,0.6065,0.7255,0.9301
50,1.0346,0.0000,0.1490,0.2836,0.5764,0.8822
