trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5
1,0.4955,0.0000,0.2474,0.4387,0.7077,0.8295
2,0.4886,0.0000,0.0051,0.0529,0.2823,0.4245
3,0.5173,0.0000,0.1145,0.3640,0.5587,0.8417
4,0.5234,0.0000,0.3556,0.3663,0.4709,0.5446
5,0.4811,0.0000,0.1276,0.5972,0.8805,0.9192
6,0.4932,0.0000,0.2566,0.6084,0.6744,0.8953
7,0.5068,0.0000,0.1189,0.3073,0.4500,0.6484
8,0.4900,0.0000,0.1645,0.2290,0.5943,0.9157
9,0.4973,0.0000,0.1553,0.4535,0.6540,0.7671
10,0.4998,0.0000,0.2375,0.4921,0.6765,0.7247
11,0.4498,0.0000,0.2230,0.3348,0.7642,0.8475
12,0.4843,0.0000,0.0208,0.0893,0.2417,0.6249
13,0.5034,0.0000,0.3231,0.4558,0.7508,0.8890
14,0.4933,0.0000,0.0281,0.3236,0.4280,0.9916
15,0.5155,0.0000,0.0708,0.3978,0.5822,0.9437
16,0.4815,0.0000,0.4038,0.8162,0.8747,0.9214
17,0.4177,0.0000,0.0102,0.1335,0.2973,0.8789
18,0.4809,0.0000,0.0927,0.4024,0.7000,0.7124
19,0.5075,0.0000,0.1305,0.1610,0.4699,0.5041
20,0.4924,0.0000,0.3864,0.4232,0.9260,0.9372
21,0.5088,0.0000,0.0705,0.3297,0.4589,0.4736
22,0.4886,0.0000,0.1303,0.5753,0.6820,0.9331
23,0.4124,0.0000,0.0436,0.1105,0.2909,0.8131
24,0.4255,0.0000,0.6930,0.7500,0.7651,0.8589
25,0.4453,0.0000,0.1055,0.1222,0.2697,0.3346
26,0.4189,0.0000,0.0455,0.1180,0.1759,0.2986
27,0.4876,0.0000,0.0722,0.3238,0.3616,0.6602
28,0.4372,0.0000,0.1496,0.3155,0.7516,0.8620
29,0.5059,0.0000,0.0522,0.3111,0.4700,0.7646
30,0.4889,0.0000,0.5746,0.6745,0.8390,0.9791
31,0.5055,0.0000,0.3619,0.4566,0.7143,0.7719
32,0.4721,0.0000,0.0755,0.3819,0.7299,0.9056
33,0.5171,0.0000,0.3812,0.5703,0.5914,0.8546
34,0.4954,0.0000,0.3335,0.4297,0.7449,0.7861
35,0.4916,0.0000,0.5647,0.6946,0.7080,0.8343
36,0.4940,0.0000,0.0091,0.0415,0.4456,0.8577
37,0.4799,0.0000,0.2822,0.6556,0.7634,0.7826
38,0.5044,0.0000,0.2405,0.2783,0.4877,0.9343
39,0.4761,0.0000,0.2481,0.6487,0.8123,0.8995
40,0.5149,0.0000,0.4028,0.5864,0.8436,0.9980
41,0.5138,0.0000,0.3168,0.5450,0.8203,0.9207
42,0.4932,0.0000,0.0350,0.3640,0.4138,0.6748
43,0.5163,0.0000,0.3755,0.4896,0.5037,0.9158
44,0.4901,0.0000,0.4297,0.6650,0.8363,0.8794
45,0.5088,0.0000,0.1575,0.4845,0.5838,0.5964
46,0.5056,0.0000,0.3658,0.4572,0.8069,0.9235
47,0.4968,0.0000,0.1564,0.4606,0.7281,0.8673
48,0.5187,0.0000,0.3392,0.3700,0.3950,0.5434
49,0.4785,0.0000,0.2166,0.6224,0.6746,0.9727
50,0.5047,0.0000,0.0116,0.2832,0.5837,0.7358
