trial,rev_1,rev_5,rev_10,rev_20,rev_30,rev_40,rev_50,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,2.3229,10.9668,21.1740,41.2219,61.2249,81.2263,101.2253,1.0000,1.3705,3.2502,3.8056,5.1857,5.8879,6.2196,8.3484,9.4662,1000000.0000
2,2.2664,10.8291,21.0330,41.0931,61.0958,81.0950,101.0940,1.0000,2.9313,5.1355,5.6321,6.6578,8.0375,8.0860,8.8603,9.1762,1000000.0000
3,2.4046,10.7783,20.8035,40.8026,60.8027,80.8030,100.8003,1.0000,1.3592,1.6751,2.3122,2.8400,3.4348,5.6179,5.6191,5.6611,1000000.0000
4,2.3035,10.9398,21.2100,41.3113,61.3212,81.3253,101.3278,1.0000,1.2574,1.9517,3.3542,7.2206,7.8703,8.6163,9.6645,9.9684,1000000.0000
5,2.3619,11.0115,21.1942,41.2374,61.2394,81.2395,101.2395,1.0000,2.1618,3.0304,3.4881,4.3249,5.5024,6.5383,6.9466,9.1750,1000000.0000
6,1.9418,10.8890,21.0691,41.1503,61.1621,81.1643,101.1650,1.0000,1.6641,1.8179,1.9649,2.5965,5.6820,5.9319,8.7626,9.5422,1000000.0000
7,2.3009,10.8644,21.0273,41.0642,61.0657,81.0658,101.0657,1.0000,1.3883,1.4742,2.2968,4.7993,6.5479,6.6527,6.8239,8.8296,1000000.0000
8,2.2410,10.7552,20.9637,41.0356,61.0400,81.0423,101.0435,1.0000,2.4564,2.5040,2.5975,7.3453,7.6776,8.1678,9.4011,9.5217,1000000.0000
9,1.9968,10.8454,21.0603,41.1271,61.1312,81.1315,101.1315,1.0000,1.2326,3.4294,6.0833,6.6186,7.4210,8.2041,8.4280,9.5339,1000000.0000
10,2.2783,10.7511,20.8609,40.8799,60.8809,80.8814,100.8751,1.0000,1.8816,5.0711,5.4763,5.6768,5.7032,5.7080,6.4285,6.9190,1000000.0000
11,2.2786,10.8625,21.0589,41.1038,61.1068,81.1084,101.1100,1.0000,3.0687,3.7025,5.1653,5.2207,5.3845,5.8995,6.3994,9.1624,1000000.0000
12,2.2278,9.9995,20.8830,40.9638,60.9740,80.9747,100.9740,1.0000,1.3760,5.2075,5.3031,6.6381,6.9699,7.0320,7.6174,9.8839,1000000.0000
13,2.2391,10.7435,20.9354,40.9994,61.0038,81.0029,101.0015,1.0000,3.3676,3.4919,4.3474,7.6473,8.8149,8.9190,9.0003,9.5263,1000000.0000
14,2.3406,10.9189,21.1264,41.1938,61.1975,81.1974,101.1969,1.0000,1.6589,2.5270,3.8656,6.4460,7.0186,7.3002,7.5235,9.0897,1000000.0000
15,2.2681,10.7916,20.9717,41.0283,61.0315,81.0307,101.0298,1.0000,1.4788,4.7331,5.0934,5.3409,6.0845,6.6953,7.8889,9.2301,1000000.0000
16,2.3434,10.9360,21.0890,41.1019,61.1029,81.1022,101.1045,1.0000,1.5974,2.4092,2.5215,3.9685,5.9917,6.6988,7.3138,7.4127,1000000.0000
17,2.2914,10.8863,21.1026,41.1749,61.1824,81.1851,101.1874,1.0000,2.3242,4.8515,5.6316,6.1695,7.7474,8.3771,8.9140,9.0146,1000000.0000
18,2.3427,10.9918,21.1884,41.2370,61.2394,81.2396,101.2397,1.0000,1.3893,1.9896,2.8431,4.4463,5.3414,6.8897,9.2150,9.5225,1000000.0000
19,2.1945,10.5403,20.5612,40.6337,60.6328,80.6316,100.6305,1.0000,3.8984,3.9977,4.7962,5.0188,5.2385,5.3900,5.7634,5.9502,1000000.0000
20,2.3247,10.9845,21.2090,41.2815,61.2859,81.2873,101.2877,1.0000,1.1974,1.4593,1.6122,2.8349,4.7139,5.7964,7.6920,9.3253,1000000.0000
21,2.3555,10.9720,21.1418,41.2067,61.2172,81.2198,101.2210,1.0000,1.8160,2.9719,3.2116,4.1792,4.7810,7.8076,8.7057,9.8581,1000000.0000
22,2.2844,10.8136,20.9639,40.9978,61.0006,81.0021,101.0034,1.0000,1.2907,2.0643,5.7394,6.4992,7.7175,7.8363,8.2263,8.2984,1000000.0000
23,2.2651,10.7756,20.9362,40.9738,60.9820,80.9745,100.9801,1.0000,1.1183,1.5180,4.4243,6.1004,6.1929,6.1980,6.9671,7.5623,1000000.0000
24,2.2617,10.8166,21.0262,41.0918,61.0959,81.0944,101.0959,1.0000,1.8518,4.9182,6.7950,6.9154,7.3574,7.6484,8.5008,9.1892,1000000.0000
25,2.2994,10.9438,21.1999,41.2865,61.2892,81.2859,101.2860,1.0000,1.1610,2.1053,4.4186,6.1731,6.1751,7.5808,8.6245,9.5924,1000000.0000
26,2.3749,10.9332,21.1118,41.1631,61.1668,81.1679,101.1690,1.0000,1.4376,1.7236,2.1800,3.4674,5.8017,5.9543,6.9753,9.2069,1000000.0000
27,2.3110,10.9600,21.2152,41.2900,61.2937,81.2956,101.2964,1.0000,1.6620,3.9921,4.8175,5.3897,5.8184,6.4437,9.0773,9.7423,1000000.0000
28,2.3022,10.8727,21.0260,41.0596,61.0616,81.0624,101.0631,1.0000,1.1684,3.1329,3.8157,4.6164,5.5475,5.6228,6.0240,9.9268,1000000.0000
29,2.2985,10.8911,21.0886,41.1435,61.1470,81.1482,101.1491,1.0000,2.7565,3.6272,5.4764,6.1235,6.1478,6.2738,7.8320,8.8627,1000000.0000
30,2.3245,10.9558,21.1579,41.2110,61.2115,81.2115,101.2106,1.0000,1.1036,2.6241,3.7259,4.0552,5.5186,6.7450,7.1984,8.5698,1000000.0000
31,1.9990,10.7567,21.0000,41.1005,61.1103,81.1097,101.1097,1.0000,4.0321,4.3669,4.4504,5.5065,6.4716,7.6725,7.7394,9.8932,1000000.0000
32,2.2385,10.7666,20.9757,41.0428,61.0476,81.0481,101.0483,1.0000,3.2808,6.2466,6.9206,7.8611,7.8792,7.9957,8.6544,9.6807,1000000.0000
33,2.3737,10.8892,20.9662,40.9733,60.9733,80.9732,100.9707,1.0000,1.0928,1.1544,2.2715,2.8205,3.5476,3.9573,4.9842,5.2455,1000000.0000
34,2.3019,10.9103,21.1513,41.2116,61.2129,81.2128,101.2116,1.0000,1.5710,2.4930,5.0796,6.6253,6.8812,6.9623,8.0359,8.7103,1000000.0000
35,2.2503,10.7650,20.9462,40.9978,61.0000,80.9993,100.9984,1.0000,3.5506,4.5779,4.8329,6.6018,7.0962,7.5988,8.4232,8.5693,1000000.0000
36,2.3236,10.7962,20.8717,40.8793,60.8800,80.8806,100.8813,1.0000,2.3529,2.5451,2.6251,2.7736,3.5704,5.4004,5.5587,6.2208,1000000.0000
