trial,rev_1,rev_5,rev_10,rev_20,rev_30,rev_40,rev_50,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,2.3019,10.8692,21.0383,41.0790,61.0816,81.0827,101.0837,1.0000,1.3426,1.3467,3.2829,4.4657,4.7777,5.4016,7.1041,7.2979,1000000.0000
2,2.2506,10.8975,21.2625,41.4732,61.5048,81.5103,101.5107,1.0000,3.1586,5.4459,6.5649,8.2943,9.4583,10.9705,13.2101,14.7666,1000000.0000
3,2.2205,10.7773,21.0782,41.2475,61.2774,81.2829,101.2838,1.0000,4.0684,5.6923,5.9499,8.9737,9.3699,9.7736,11.2406,13.1566,1000000.0000
4,2.2204,10.7565,21.0295,41.1630,61.1816,81.1853,101.1869,1.0000,1.4282,5.9585,6.3274,7.0159,10.4190,12.0197,12.5054,13.9514,1000000.0000
5,2.2412,10.7711,20.9867,41.0648,61.0716,81.0705,101.0720,1.0000,3.6021,3.6488,3.6603,3.7950,3.9453,6.6113,8.1304,12.7306,1000000.0000
6,2.1960,10.7115,21.0133,41.2020,61.2393,81.2474,101.2495,1.0000,1.2640,5.7847,6.8131,8.1609,10.2672,10.9769,12.5384,14.3120,1000000.0000
7,2.0000,10.7333,21.0491,41.2361,61.2720,81.2779,101.2812,1.0000,4.7174,5.6441,6.9342,7.4854,10.4355,11.6667,14.5822,14.9524,1000000.0000
8,2.2466,10.7921,21.0583,41.2183,61.2535,81.2612,101.2604,1.0000,2.5715,4.9513,5.2648,5.2826,10.6761,11.4096,11.7254,13.5053,1000000.0000
9,2.2790,10.9315,21.2631,41.4377,61.4628,81.4653,101.4643,1.0000,2.3473,4.1127,7.2106,7.3645,8.5812,10.2589,11.6610,14.0586,1000000.0000
10,2.2122,10.7610,21.0619,41.1999,61.2085,81.2091,101.2093,1.0000,4.2846,5.7910,6.6975,6.8430,7.8667,8.4491,12.3718,12.4512,1000000.0000
11,2.2898,10.9438,21.2271,41.3392,61.3504,81.3525,101.3539,1.0000,2.5377,3.1841,5.3725,5.8151,7.9694,8.5490,9.5528,10.6077,1000000.0000
12,2.2373,10.8188,21.1197,41.2985,61.3323,81.3381,101.3384,1.0000,3.2667,4.2666,7.8242,11.1584,11.1870,12.2527,13.0976,13.3829,1000000.0000
13,2.3264,10.9919,21.2634,41.3830,61.3993,81.4030,101.4051,1.0000,1.8438,3.9230,4.6745,4.8859,7.4523,8.5359,10.0629,14.4413,1000000.0000
14,2.3266,10.9242,21.1199,41.1858,61.1884,81.1881,101.1876,1.0000,2.4026,3.1968,4.6828,5.6785,5.7764,5.9695,9.7648,11.1294,1000000.0000
15,2.0000,10.8762,21.2162,41.4072,61.4397,81.4447,101.4472,1.0000,2.9354,5.9880,6.0408,7.4847,8.7057,10.5983,11.6894,14.3552,1000000.0000
16,2.2511,10.8490,21.1399,41.2822,61.3027,81.3060,101.3067,1.0000,1.1966,3.9653,4.1293,6.4657,7.6436,8.3476,9.7482,14.0671,1000000.0000
17,2.1567,10.5863,20.8524,41.0276,61.0632,81.0699,101.0707,1.0000,6.0153,7.0209,8.7152,10.2719,10.5547,12.7431,13.4073,13.6844,1000000.0000
18,2.1513,10.5673,20.8324,41.0185,61.0607,81.0700,101.0556,1.0000,5.3752,5.5168,5.6199,11.3794,12.1751,12.5114,14.6531,14.7357,1000000.0000
19,2.1668,10.6361,20.9268,41.1207,61.1606,81.1702,101.1721,1.0000,5.6086,6.4837,6.5483,8.9847,9.8449,10.3002,12.8416,13.9055,1000000.0000
20,2.2217,10.7770,21.0709,41.2271,61.2507,81.2544,101.2550,1.0000,1.3878,5.2658,6.7856,7.1933,9.8420,12.2913,13.2275,13.4981,1000000.0000
21,2.2570,10.8774,21.2004,41.3800,61.4101,81.4154,101.4160,1.0000,1.1066,1.7226,3.8542,7.8313,8.4610,11.3471,12.4708,14.1831,1000000.0000
22,2.1979,10.6940,20.9407,41.0472,61.0601,81.0626,101.0637,1.0000,4.6937,6.0823,6.8320,6.9244,9.4496,9.5584,11.6242,11.6594,1000000.0000
