trial,rev_1,rev_5,rev_10,rev_20,rev_30,rev_40,rev_50,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,2.1888,10.6990,21.0085,41.2193,61.2859,81.3103,101.3198,1.0000,4.6281,6.2549,6.3988,7.0475,8.1210,16.1303,21.0623,21.9431,1000000.0000
2,2.2791,10.9331,21.3187,41.6638,61.7879,81.8162,101.8217,1.0000,2.1037,4.0793,6.5405,11.0769,16.5213,18.6373,20.5460,21.7550,1000000.0000
3,2.1688,10.6748,21.0511,41.3827,61.4910,81.5273,101.5396,1.0000,5.5273,7.9140,11.8431,12.9930,15.7149,19.4837,20.0246,23.7314,1000000.0000
4,2.2347,10.8547,21.2208,41.4600,61.5144,81.5281,101.5316,1.0000,1.2272,3.9756,7.2517,9.7094,10.3734,11.0033,13.7082,18.6894,1000000.0000
5,2.2423,10.8258,21.1638,41.4360,61.5283,81.5608,101.5725,1.0000,3.2651,3.8723,6.8838,7.2592,13.0187,17.7847,23.7822,24.9465,1000000.0000
6,2.2247,10.8270,21.2160,41.5499,61.6773,81.7279,101.7477,1.0000,2.9283,6.7118,7.8544,12.9634,19.2890,20.6144,22.3086,24.3012,1000000.0000
7,2.2055,10.7322,21.0956,41.4228,61.5345,81.5761,101.5913,1.0000,3.4506,3.6195,10.3663,11.3175,13.2223,15.4146,20.5032,23.7463,1000000.0000
8,2.1948,10.6446,20.9741,41.2765,61.3828,81.4198,101.4321,1.0000,1.3638,5.9237,14.9789,15.0675,19.6567,20.7291,21.0407,24.7737,1000000.0000
9,2.2670,10.8823,21.2061,41.4365,61.4921,81.5052,101.5078,1.0000,2.1273,2.2259,5.5274,5.5528,6.9445,12.4433,17.9659,19.7586,1000000.0000
10,2.2785,10.8115,21.1400,41.3626,61.4002,81.4033,101.4054,1.0000,1.1189,1.5655,2.5891,8.2499,8.8767,15.8638,16.8481,18.0175,1000000.0000
11,2.2418,10.6883,21.0279,41.3529,61.4650,81.4997,101.5127,1.0000,1.7026,6.4100,15.6464,17.0532,19.3742,20.8640,21.3746,24.6382,1000000.0000
12,2.2332,10.7573,21.1087,41.4693,61.6185,81.6807,101.7068,1.0000,2.6962,5.6629,13.6080,20.2917,22.3763,22.8622,23.4362,24.3810,1000000.0000
13,2.2498,10.8622,21.2298,41.5072,61.5898,81.6146,101.6220,1.0000,2.0650,6.5211,6.8180,7.5756,11.9970,14.8726,19.4404,20.6838,1000000.0000
14,2.1886,10.7238,21.0747,41.3228,61.3852,81.3990,101.4025,1.0000,4.7303,5.6244,7.9164,11.3326,12.2548,14.6127,23.8586,24.3584,1000000.0000
15,2.1886,10.6587,20.9746,41.2778,61.3702,81.3990,101.4054,1.0000,3.9586,4.3168,11.2132,16.6255,17.2610,20.8025,21.7778,22.1089,1000000.0000
16,2.0857,10.3609,20.5934,40.8440,60.9528,81.0004,101.0213,1.0000,1.1002,12.0573,15.8611,16.3352,19.5354,20.4141,20.4694,24.5458,1000000.0000
17,2.0000,9.9998,20.9150,41.2495,61.3750,81.4169,101.4311,1.0000,7.0413,7.6104,10.0119,11.6576,15.9329,17.5397,18.2838,24.7271,1000000.0000
18,2.1929,10.7487,21.1344,41.4308,61.5087,81.5291,101.5350,1.0000,4.2210,7.9075,10.2480,12.0037,13.1286,18.0131,18.0887,24.2243,1000000.0000
19,2.1515,10.5840,19.8921,41.0813,61.1274,81.1368,101.1378,1.0000,6.3085,8.2527,10.8238,12.9727,13.1730,13.7972,15.3520,15.8448,1000000.0000
20,2.2308,10.7962,21.1547,41.4363,61.5185,81.5438,101.5523,1.0000,2.7640,2.8551,8.2163,9.5745,11.7480,14.6732,22.0976,23.3498,1000000.0000
21,2.1867,10.6938,20.9979,41.2060,61.2625,81.2731,101.2754,1.0000,4.1254,5.5807,5.6310,12.1646,15.5329,17.1124,17.7293,17.9772,1000000.0000
22,2.2488,10.6437,20.9385,41.2455,61.3720,81.4252,101.4480,1.0000,1.8721,8.2402,17.6845,17.8471,20.6577,21.9633,23.6966,24.0265,1000000.0000
23,2.2079,10.8080,21.2314,41.5944,61.7113,81.7502,101.7591,1.0000,3.8639,7.2861,8.7034,10.5313,13.1161,16.6120,20.1089,24.4693,1000000.0000
24,2.1032,10.4369,20.7199,41.0220,61.1486,81.2026,101.2229,1.0000,9.4179,13.2226,16.4893,21.7977,22.0142,23.1553,23.2515,24.3046,1000000.0000
25,2.2114,10.7724,21.1587,41.5298,61.6718,81.7288,101.7541,1.0000,3.2931,6.7045,12.8452,14.5713,15.4534,19.4400,20.7801,24.4219,1000000.0000
26,2.1993,10.7432,21.1096,41.4297,61.5453,81.5890,101.6041,1.0000,3.9757,7.4910,12.3685,14.4121,14.8401,21.4077,23.4738,24.3834,1000000.0000
