trial,rev_100,rev_125,rev_150,rev_175,rev_200,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,201.8142,251.9026,301.9339,351.9780,401.9506,1.0000,15.5966,25.2946,38.3887,65.9509,76.4374,79.5383,83.8436,91.2142,1000000.0000
2,202.1546,252.2949,302.3718,352.4374,402.4739,1.0000,10.2545,25.2985,42.7799,71.3482,83.7526,90.1495,103.3263,117.2010,1000000.0000
3,201.2130,251.2807,301.3254,351.3475,401.3944,1.0000,40.3289,49.4451,55.8991,68.0976,70.8168,73.2742,88.8481,113.5973,1000000.0000
4,201.6335,251.6972,301.7638,351.7973,401.8198,1.0000,5.3824,47.0378,64.6829,64.7752,68.9095,69.8012,87.9028,106.9986,1000000.0000
5,201.9800,252.0660,302.1223,352.1643,402.1957,1.0000,3.7374,14.2117,23.6877,29.1515,29.4095,60.4766,97.8194,113.3564,1000000.0000
6,201.6991,251.7179,301.7371,351.7118,401.7445,1.0000,15.2299,20.7505,28.4222,32.1258,44.5333,47.1015,58.0867,87.1538,1000000.0000
7,201.6610,251.7476,301.8024,351.8371,401.8590,1.0000,4.2382,13.4763,100.8798,103.4206,103.9424,106.2554,107.1957,115.6731,1000000.0000
8,201.7878,251.8490,301.8776,351.8963,401.9089,1.0000,9.8477,18.0323,19.8988,21.7134,25.7871,50.9734,77.4579,86.5969,1000000.0000
9,201.8712,251.9326,301.9721,351.9978,402.0149,1.0000,5.1112,12.4335,12.7255,15.2957,45.4699,71.7453,73.2529,114.7974,1000000.0000
10,201.5675,251.6511,301.6780,351.7268,401.7014,1.0000,24.9203,26.3477,44.3520,47.9052,61.6900,80.1788,90.3669,107.1142,1000000.0000
11,201.8286,251.8862,301.9177,351.9358,401.9464,1.0000,11.5258,19.2582,23.7889,30.1979,31.2106,68.2693,81.7866,115.6426,1000000.0000
12,201.1028,251.1847,301.2375,351.2717,401.2539,1.0000,44.6745,52.6334,73.7910,84.6191,91.0777,92.9348,111.2662,116.9406,1000000.0000
13,201.6058,251.6681,301.7055,351.7283,401.7421,1.0000,5.0638,7.3584,69.2766,76.8926,87.0041,108.4159,111.5832,116.2256,1000000.0000
14,201.8263,251.9060,301.9541,351.9835,402.0015,1.0000,8.8657,44.0804,48.7352,51.6601,56.4852,62.8815,97.1399,104.2256,1000000.0000
15,201.7658,251.7882,301.7996,351.7753,401.8093,1.0000,2.7676,9.2968,34.4794,37.3692,39.4951,92.3060,100.9150,104.3961,1000000.0000
16,201.5128,251.5669,301.5921,351.6051,401.6118,1.0000,20.5986,21.6023,25.7335,50.9236,55.7927,67.5195,70.6219,90.2927,1000000.0000
17,201.5140,251.5983,301.6354,351.6904,401.6715,1.0000,16.9068,60.6260,65.4043,71.7740,91.4607,107.0337,107.5336,119.6285,1000000.0000
18,201.1918,251.2664,301.3093,351.3330,401.3470,1.0000,39.6450,51.5697,65.9792,70.7423,102.4362,105.1793,109.8468,113.2352,1000000.0000
19,201.8444,251.9470,302.0042,352.0400,402.0622,1.0000,8.2966,40.6274,59.5390,59.9342,64.7336,72.6976,97.4287,111.6243,1000000.0000
