trial,rev_1,rev_5,rev_10,rev_20,rev_30,rev_40,rev_50,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,2.3812,10.8182,20.8607,40.8613,60.8603,80.8596,100.8587,1.0000,1.6970,2.5093,2.5590,3.0497,3.1438,4.3900,4.6954,4.8038,1000000.0000
2,2.3612,10.7192,20.7698,40.7727,60.7740,80.7753,100.7767,1.0000,1.1996,1.9159,2.1297,2.5514,3.7271,3.7467,4.3546,4.4907,1000000.0000
3,2.4258,10.8657,20.9029,40.9045,60.9043,80.9024,100.9039,1.0000,1.4606,1.9689,2.1980,2.5735,2.9237,2.9839,3.7570,4.9732,1000000.0000
4,2.2944,10.6078,20.6555,40.6573,60.6572,80.6570,100.6571,1.0000,1.2035,1.2115,1.2739,3.3514,3.8985,4.0478,4.1966,4.9764,1000000.0000
5,2.3487,10.7997,20.8607,40.8663,60.8670,80.8677,100.8671,1.0000,2.1218,2.1720,2.3334,3.2432,3.9339,3.9544,4.9176,4.9549,1000000.0000
6,2.3883,10.8713,20.9300,40.9346,60.9351,80.9357,100.9362,1.0000,1.0094,1.9870,2.5236,2.8479,3.1031,3.5917,4.2001,4.9082,1000000.0000
7,2.3865,10.8289,20.8751,40.8793,60.8807,80.8820,100.8834,1.0000,1.1722,1.1976,1.8167,3.0347,3.3061,3.4367,3.9905,4.9306,1000000.0000
8,1.9485,10.6881,20.7029,40.7048,60.7065,80.7081,100.7098,1.0000,1.3396,2.2470,2.5026,2.9313,2.9855,3.4388,3.4565,3.5634,1000000.0000
9,2.3652,10.7581,20.7932,40.7955,60.7962,80.7954,100.7977,1.0000,1.9666,2.8120,2.9036,3.1781,4.1339,4.1495,4.2634,4.4180,1000000.0000
10,2.3603,10.6996,20.7195,40.7184,60.7179,80.7155,100.7162,1.0000,2.1199,2.1680,2.3383,2.3621,2.3897,2.5551,2.9332,3.7443,1000000.0000
11,2.3974,10.7806,20.8019,40.8015,60.8004,80.7992,100.7956,1.0000,1.0807,1.1828,1.6545,2.4984,2.5917,3.1890,4.0164,4.1260,1000000.0000
12,2.3343,10.7601,20.8170,40.8215,60.8211,80.8207,100.8202,1.0000,2.3452,2.6936,2.7761,3.7217,4.1449,4.6054,4.7134,4.9265,1000000.0000
13,2.3902,10.7549,20.7770,40.7735,60.7794,80.7789,100.7784,1.0000,1.4482,1.4490,1.4932,2.3749,2.5586,2.7731,3.1294,4.7607,1000000.0000
14,2.3770,10.8515,20.8538,40.9198,60.9212,80.9225,100.9212,1.0000,1.1062,1.2373,1.3204,1.9535,3.0464,4.2684,4.7045,4.8924,1000000.0000
15,2.4258,10.7543,20.7655,40.7658,60.7651,80.7661,100.7662,1.0000,1.0862,1.2044,1.5901,2.1765,2.6293,2.6666,3.0072,3.7495,1000000.0000
16,2.3794,10.8276,20.8752,40.8573,60.8760,80.8733,100.8737,1.0000,1.4543,1.5584,1.5611,2.7360,2.9532,3.6223,4.0178,4.8425,1000000.0000
17,2.3562,10.8214,20.8814,40.8850,60.8842,80.8833,100.8825,1.0000,2.1570,2.3223,2.7000,3.4089,3.5420,4.1966,4.7174,4.9610,1000000.0000
18,2.4067,10.8376,20.8663,40.8669,60.8665,80.8646,100.8657,1.0000,1.3929,1.8270,2.0465,2.8915,3.1822,4.0670,4.3066,4.5655,1000000.0000
19,2.3790,10.6962,20.7168,40.7181,60.7182,80.7184,100.7186,1.0000,1.2550,1.7736,2.0042,2.1242,2.2780,3.6961,3.9468,4.1873,1000000.0000
20,2.4114,10.8464,20.8823,40.8840,60.8842,80.8844,100.8845,1.0000,1.5145,1.5847,2.2451,2.7856,3.0412,3.3043,4.4202,4.6389,1000000.0000
21,2.4149,10.8839,20.9337,40.9371,60.9368,80.9366,100.9340,1.0000,1.1016,1.4980,2.2023,2.7490,3.0018,3.3697,4.4455,4.8974,1000000.0000
22,2.4001,10.9059,20.9635,40.9668,60.9662,80.9656,100.9650,1.0000,1.2993,1.6091,2.6217,3.2585,3.9964,4.1760,4.7077,4.9973,1000000.0000
23,2.3346,10.6840,20.7137,40.7151,60.7150,80.7149,100.7148,1.0000,1.2013,1.2580,2.7073,2.9063,3.4369,3.7884,3.8072,4.3784,1000000.0000
24,1.9982,10.8685,20.9284,40.9342,60.9354,80.9366,100.9378,1.0000,1.9509,2.4376,2.5674,2.9715,3.8012,4.0424,4.8642,4.9091,1000000.0000
25,2.3770,10.8234,20.8714,40.8749,60.8755,80.8745,100.8765,1.0000,1.2339,1.5179,1.7053,3.3183,3.9177,4.2025,4.5851,4.8945,1000000.0000
26,1.9999,10.8392,20.8728,40.8733,60.8722,80.8712,100.8702,1.0000,1.0765,1.6374,1.7638,2.5578,3.3973,3.7200,4.8481,4.9931,1000000.0000
27,2.3555,10.8018,20.8516,40.8541,60.8545,80.8548,100.8527,1.0000,1.0885,2.3209,2.6779,2.9077,2.9905,3.4101,4.0057,4.6252,1000000.0000
28,2.4111,10.8192,20.8501,40.8518,60.8522,80.8510,100.8529,1.0000,1.6249,1.6553,1.7468,2.4064,3.0436,3.2151,4.0540,4.3837,1000000.0000
29,2.3497,10.7587,20.8035,40.8075,60.8085,80.8095,100.8080,1.0000,1.0160,1.0306,1.3311,1.6412,2.4406,3.8637,4.4144,4.6854,1000000.0000
30,1.9758,10.7436,20.7970,40.8027,60.8045,80.8064,100.8083,1.0000,1.0098,2.3988,2.5476,3.2608,3.9610,4.5077,4.5116,4.6436,1000000.0000
31,2.3893,10.8465,20.8939,40.8962,60.8958,80.8952,100.8949,1.0000,1.8893,1.9217,1.9955,2.1123,2.5735,2.9332,3.7521,4.9856,1000000.0000
32,2.3977,10.8570,20.9050,40.9080,60.9087,80.9092,100.9075,1.0000,1.6362,2.0069,3.0855,3.5113,3.7211,3.8183,4.5803,4.8348,1000000.0000
33,2.4124,10.8592,20.8961,40.8992,60.9006,80.9004,100.9033,1.0000,1.6511,2.3292,2.4255,2.6506,3.1581,3.7083,3.7991,4.9481,1000000.0000
