trial,rev_1,rev_5,rev_10,rev_20,rev_30,rev_40,rev_50,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,2.2174,10.7748,21.1222,41.3970,61.4945,81.5440,101.5752,1.0000,3.1316,8.2604,10.0955,11.4300,15.5853,28.2490,54.4113,89.9420,1000000.0000
2,2.0492,10.2272,20.4151,40.7097,60.9307,81.1004,101.2321,1.0000,19.2554,46.3263,53.4300,55.9226,65.8645,89.9199,90.6753,99.3028,1000000.0000
3,2.0858,10.3818,20.6678,41.0537,61.2716,81.4115,101.5078,1.0000,10.5444,10.9402,14.6145,29.7329,43.6506,47.1573,83.2253,87.9223,1000000.0000
4,2.0944,10.0000,20.6809,41.0502,61.2905,81.4679,101.6056,1.0000,9.4759,11.7343,27.8786,30.1679,65.9309,83.4208,89.9957,97.3473,1000000.0000
5,2.2004,10.7224,21.0255,41.2549,61.3440,81.3934,101.4262,1.0000,4.3071,7.4945,10.9460,21.4989,36.6146,86.4885,86.6676,87.2560,1000000.0000
6,2.1137,10.0000,19.9999,40.9627,61.1988,81.3848,101.5324,1.0000,7.6473,28.0222,57.8936,58.7937,72.4382,76.7055,89.3995,95.7934,1000000.0000
7,2.0379,10.1801,20.3390,40.6029,60.8061,80.9632,101.0827,1.0000,26.7536,31.0269,52.5264,66.6812,67.9437,73.0470,89.3177,92.4693,1000000.0000
8,2.1834,10.6022,20.9011,41.2644,61.4700,81.5950,101.6728,1.0000,4.1348,18.0563,20.4490,27.6911,47.1009,51.2967,52.3599,91.7172,1000000.0000
9,2.1744,10.5372,20.7808,41.1265,61.3761,81.5628,101.7057,1.0000,4.4435,27.7700,33.7062,45.7674,58.6907,71.1129,91.5850,91.8722,1000000.0000
10,2.0707,10.3241,20.5853,40.9669,61.2169,81.3969,101.5318,1.0000,13.0625,18.0963,20.7876,43.9403,55.8536,66.4409,82.4388,92.9462,1000000.0000
11,2.2484,10.5912,20.8579,41.2136,61.4100,81.5234,101.5890,1.0000,2.1730,11.8348,25.7340,30.8850,31.8951,33.5545,87.6177,97.4652,1000000.0000
12,2.0177,10.0851,20.1622,40.2950,60.4038,80.4930,100.5652,1.0000,55.4241,61.7582,64.4309,69.2684,78.4528,86.5052,97.5827,97.6173,1000000.0000
13,2.0920,10.3949,20.6660,41.0060,61.2115,81.3434,101.4439,1.0000,9.9609,10.5112,20.6782,79.0153,91.9850,95.0783,96.7147,99.6558,1000000.0000
14,2.2204,10.6080,20.8253,41.0955,61.2592,81.3668,101.4433,1.0000,3.0493,4.0446,22.6872,22.7725,22.8971,31.9297,73.5094,88.8059,1000000.0000
15,2.2430,10.6012,20.8805,41.2883,61.5649,81.7566,101.8912,1.0000,2.4013,15.0043,23.6878,39.7125,48.2451,51.2501,64.3787,89.2184,1000000.0000
16,2.2697,10.8099,21.1171,41.4724,61.6951,81.8526,101.9731,1.0000,2.8940,4.8524,14.2479,16.9645,33.0174,53.7562,69.6363,86.8773,1000000.0000
17,2.2500,10.5446,20.7850,41.1381,61.3748,81.5343,101.6468,1.0000,1.9999,18.6239,24.3535,31.7248,35.5393,52.9243,79.6621,87.7159,1000000.0000
18,2.0786,10.3569,20.6368,41.0341,61.2902,81.4601,101.5760,1.0000,11.8817,16.0484,29.9443,35.1260,40.6066,65.9937,74.2948,87.9480,1000000.0000
19,2.2346,10.3836,20.5114,40.7237,60.8884,81.0183,101.1212,1.0000,1.6110,39.6830,41.7782,45.5623,53.1212,70.9614,87.6815,91.2330,1000000.0000
20,2.0668,10.3109,20.5676,40.9513,61.2170,81.4035,101.5352,1.0000,14.1447,25.7233,38.6030,45.6073,47.5182,66.8878,72.2944,88.7464,1000000.0000
21,2.0310,10.1480,20.2795,40.5000,60.6673,80.7977,100.8974,1.0000,33.2752,42.6736,70.8806,76.1247,76.8099,81.8520,91.3618,91.5375,1000000.0000
22,2.0495,10.2343,19.9999,40.7596,60.9941,81.1625,101.2861,1.0000,20.3311,26.4411,32.0819,42.1391,42.8112,63.9026,87.9857,94.1772,1000000.0000
23,2.0327,10.1550,20.2903,40.5125,60.6829,80.8118,100.9126,1.0000,29.5433,34.3451,37.8485,39.0463,39.4522,79.9382,84.7125,91.7073,1000000.0000
24,2.1622,10.4992,20.7113,41.0113,61.2376,81.4100,101.5462,1.0000,4.9095,36.1618,43.6186,47.8468,60.5781,84.2016,89.0405,99.1514,1000000.0000
25,2.1890,10.5177,20.7101,40.9862,61.1888,81.3426,101.4625,1.0000,3.9527,37.0371,40.1372,46.1959,54.3263,56.7888,69.0745,99.1442,1000000.0000
26,2.0490,10.2273,20.4170,40.7138,60.9332,81.0953,101.2200,1.0000,19.3612,42.4960,51.3076,52.9745,57.9430,66.3341,92.3136,92.4023,1000000.0000
27,2.0988,10.3998,20.6591,41.0189,61.2767,81.4718,101.6223,1.0000,8.9990,31.0010,43.5168,54.6196,57.4197,62.2796,72.5115,94.2030,1000000.0000
28,2.1855,10.6139,20.8718,41.1877,61.4242,81.5993,101.7362,1.0000,1.2367,5.0107,10.8600,35.8256,62.7327,63.5314,76.6551,82.0776,1000000.0000
29,2.1729,10.5456,20.8010,41.1571,61.4012,81.5708,101.6892,1.0000,4.4965,5.2941,19.9993,39.3089,42.1095,53.6829,89.3410,96.4804,1000000.0000
30,2.2457,10.5359,20.7484,41.0786,61.3265,81.5181,101.6681,1.0000,2.3012,13.9783,41.9106,68.8990,69.4088,81.4752,87.1415,88.4725,1000000.0000
31,2.2310,10.5602,20.7908,41.1425,61.3965,81.5836,101.7234,1.0000,2.7625,20.6827,31.3548,49.5785,66.5507,91.1181,94.1005,99.8569,1000000.0000
32,2.0519,10.0000,20.4482,40.7726,61.0115,81.1904,101.3262,1.0000,19.1758,21.6355,22.3321,41.7322,53.9177,75.8763,85.2946,96.9262,1000000.0000
33,2.0908,10.3941,20.6767,41.0509,61.2861,81.4450,101.5607,1.0000,9.9061,20.9760,21.2052,31.7948,74.9384,89.9546,94.3343,97.4404,1000000.0000
34,2.0324,10.0000,20.2958,40.5339,60.7249,80.8767,100.9980,1.0000,32.2470,40.9008,43.0886,51.0799,66.6656,75.6050,86.9984,97.7182,1000000.0000
35,2.1845,10.5067,20.8031,41.1834,61.4055,81.5456,101.6397,1.0000,1.3230,10.9198,19.5599,27.5196,56.9639,58.1021,64.2548,87.1083,1000000.0000
36,2.0886,10.3966,20.6974,41.1128,61.3602,81.5330,101.6644,1.0000,10.4176,16.3817,28.8718,50.5357,52.9662,61.2687,77.2569,84.9780,1000000.0000
37,2.2186,10.5531,20.7666,41.0851,61.3145,81.4835,101.6112,1.0000,3.0966,3.3576,28.0375,33.2329,58.0957,68.4117,73.6394,92.8372,1000000.0000
38,2.2142,10.5989,20.8788,41.2933,61.5879,81.8034,101.9642,1.0000,3.2179,10.2583,32.1632,35.1992,42.8905,55.9939,74.6411,86.4933,1000000.0000
39,2.1007,10.0000,20.7036,41.0403,61.2323,81.3661,101.4708,1.0000,9.2706,14.8358,18.4333,79.4382,80.6432,81.4085,86.1606,98.0970,1000000.0000
40,2.2139,10.5545,20.7665,41.0531,61.2356,81.3556,101.4360,1.0000,3.2254,16.3551,37.2074,72.3261,72.8141,78.5328,79.1646,80.1879,1000000.0000
41,2.2071,10.7414,21.0738,41.4317,61.6205,81.7270,101.7946,1.0000,3.9449,6.3674,14.0903,22.3965,26.2722,59.8636,92.1352,94.6610,1000000.0000
42,2.2316,10.5135,20.6894,40.9704,61.1856,81.3520,101.4819,1.0000,2.7429,30.6011,31.3237,51.7571,59.7720,73.8192,85.8075,97.3478,1000000.0000
43,2.0662,10.2906,20.5051,40.8032,60.9977,81.1294,101.2200,1.0000,14.0248,40.1321,45.9251,48.7466,49.9662,64.6935,67.5675,68.3825,1000000.0000
44,2.0774,10.3508,20.6249,41.0138,61.2538,81.4159,101.5325,1.0000,12.3434,17.4428,22.0233,24.3008,52.0338,64.6482,84.9293,94.2082,1000000.0000
45,2.2401,10.5322,20.7353,41.0486,61.2722,81.4321,101.5443,1.0000,2.4964,23.8288,45.1446,45.4426,50.8281,53.3306,66.6062,68.1264,1000000.0000
46,2.2186,10.7129,20.9934,41.3430,61.5964,81.7899,101.9370,1.0000,3.6857,6.0833,24.1377,37.3813,51.2988,54.6250,68.0872,86.6662,1000000.0000
47,2.2254,10.5766,20.8280,41.2083,61.4773,81.6704,101.8113,1.0000,2.9126,17.2553,34.1565,34.4734,42.2500,57.5419,61.4405,91.2476,1000000.0000
48,2.2410,10.5295,20.6745,40.9011,61.0747,81.2083,101.3114,1.0000,2.5169,3.0863,41.8460,51.9060,53.3626,62.3023,85.7812,88.9011,1000000.0000
49,2.2333,10.6232,20.9079,41.2827,61.5111,81.6636,101.7749,1.0000,2.6955,12.2741,24.0698,30.2017,72.8606,75.0718,91.8710,97.0930,1000000.0000
50,2.1843,10.6291,20.8979,41.1673,61.3361,81.4608,101.5604,1.0000,4.1031,8.6904,9.9916,55.1596,69.4204,83.2814,83.4619,90.6542,1000000.0000
51,2.0247,10.1203,19.9903,40.4182,60.5697,80.6944,100.7927,1.0000,41.9040,44.1691,50.8759,50.9285,59.1529,71.8361,77.0604,97.6838,1000000.0000
52,1.9812,10.5765,20.8962,41.2110,61.4041,81.5432,101.6495,1.0000,5.7407,7.9087,17.0621,29.4257,53.2861,85.4808,88.7257,89.6037,1000000.0000
53,2.0743,10.3375,19.9999,40.9216,61.0925,81.1855,101.2348,1.0000,12.9736,13.6533,22.0273,22.3807,23.1199,36.4691,39.9648,87.3031,1000000.0000
54,2.2241,10.5970,20.8683,41.2625,61.5291,81.7137,101.8439,1.0000,2.9487,18.8215,25.1781,38.1899,43.5818,58.0903,77.0033,79.9431,1000000.0000
55,2.2370,10.6430,20.9542,41.3953,61.6984,81.9179,102.0797,1.0000,2.5903,8.5493,23.7075,31.5222,54.1215,68.7840,78.0298,86.9226,1000000.0000
56,2.0457,10.2082,20.3770,40.6319,60.8156,80.9528,101.0573,1.0000,20.8195,57.3552,62.1495,67.1262,68.2660,70.0699,71.5678,80.4601,1000000.0000
57,2.2425,10.5826,20.8150,41.1266,61.3395,81.5046,101.6364,1.0000,2.4182,12.2730,26.7016,62.0267,88.8556,95.0164,96.5586,98.4658,1000000.0000
58,2.0705,10.2986,20.5050,40.7892,60.9899,81.1456,101.2676,1.0000,13.1088,13.6531,47.9409,68.4472,82.8422,85.4106,85.8223,93.7886,1000000.0000
59,2.1455,10.5151,20.7942,41.1793,61.4483,81.6430,101.7865,1.0000,5.6569,5.9376,21.5882,33.8658,44.6861,67.8145,71.5803,84.0712,1000000.0000
60,2.0000,10.3834,20.5897,40.8470,61.0286,81.1677,101.2755,1.0000,8.6332,50.7516,62.5795,81.8583,93.6793,96.5198,96.9590,97.3767,1000000.0000
61,2.2500,10.5460,20.7642,41.0510,61.2281,81.3465,101.4305,1.0000,2.0241,19.0173,21.8758,46.3567,81.7217,85.0962,87.9991,89.8739,1000000.0000
62,2.0455,10.2158,20.4050,40.7156,60.9540,81.1383,101.2818,1.0000,22.0639,26.5112,33.5051,49.8269,63.9731,82.7908,88.3314,99.3182,1000000.0000
63,2.1220,10.2732,20.4407,40.7215,60.9432,81.1144,101.2447,1.0000,1.1659,26.1873,34.0045,34.0634,54.1049,63.4322,92.7163,93.6014,1000000.0000
64,2.0484,10.2191,20.3929,40.6546,60.8453,80.9912,101.1032,1.0000,19.6232,54.4138,54.5767,80.5248,82.1825,92.3454,94.8901,97.8840,1000000.0000
65,2.0577,10.2714,20.5032,40.8699,61.1385,81.3338,101.4759,1.0000,16.7322,27.4429,34.0947,42.8560,45.9374,54.9459,69.4270,95.5513,1000000.0000
66,2.1153,10.4912,20.8235,41.2323,61.4703,81.6267,101.7345,1.0000,7.5191,15.0793,18.1179,33.1157,50.2320,55.2275,55.5153,82.4613,1000000.0000
67,2.0888,10.3957,20.6893,41.0387,61.2153,81.3280,101.4060,1.0000,10.1517,11.0972,16.0477,32.4245,45.7821,84.1158,85.9262,89.1786,1000000.0000
