trial,rev_1,rev_5,rev_10,rev_20,rev_30,rev_40,rev_50,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,2.0827,10.3645,20.6323,40.9938,61.2254,81.3845,101.4985,1.0000,10.9879,22.0092,23.1424,45.7709,49.5194,50.8194,58.9287,62.7108,1000000.0000
2,2.1626,10.5405,20.8099,41.1718,61.4104,81.5695,101.6759,1.0000,4.8914,22.4498,31.3008,32.5433,33.7475,35.0674,55.3453,62.8703,1000000.0000
3,2.2377,10.6877,21.0329,41.4615,61.6967,81.8298,101.9071,1.0000,2.5693,6.6269,19.4086,20.8606,25.4066,32.8991,35.0331,39.0920,1000000.0000
4,2.0623,10.0000,20.5221,40.8660,61.0924,81.2424,101.3428,1.0000,15.7736,24.0640,37.3155,41.5907,49.6227,51.4977,55.8013,58.4620,1000000.0000
5,2.2303,10.7429,21.1343,41.5894,61.8272,81.9608,102.0410,1.0000,2.7810,8.9604,14.1869,21.6528,26.0212,35.9035,45.5339,49.3718,1000000.0000
6,2.0000,10.8335,21.1573,41.5179,61.7122,81.8197,101.8794,1.0000,2.9774,4.4878,8.2088,20.1890,22.5449,31.0123,36.2212,59.1841,1000000.0000
7,2.3183,10.0000,21.0577,41.4649,61.6926,81.8207,101.8937,1.0000,1.6763,2.5346,7.9895,21.3758,28.1600,33.4878,44.6712,46.6712,1000000.0000
8,2.1325,10.4981,20.7896,41.1782,61.4326,81.6031,101.7191,1.0000,6.3628,21.5096,32.0736,34.2101,45.9011,47.1118,50.0953,68.4794,1000000.0000
9,2.0000,10.4635,19.9999,41.0733,61.2812,81.4106,101.4906,1.0000,7.0751,23.7076,35.2329,35.9713,37.6885,40.3113,48.6170,49.9849,1000000.0000
10,2.1152,10.4690,20.7702,41.1604,61.4255,81.6199,101.7542,1.0000,7.5272,9.8756,26.7326,38.8366,55.2335,58.5383,66.5695,69.1958,1000000.0000
